jap,fr,type,hira
sumimasen,excusez-moi,expression,すみません
doko,où,base,
bokutachi,nous,base
uchi,maison,vocabulaire
suguchikaku,tout près,expression
issho ni, ensemble,expression
iku,aller,verbe
kocchi,par ici,expression
hai,oui,base
eki,gare,vocabulaire
konbini,superette,vocabulaire
ame,pluie,vocabulaire
tadaima,on est de retour,expression
atarashi,nouveau,adjectif
juunin,résident,vocabulaire
tsuku,arriver,verbe
ooya,propriéatire,vocabulaire
gakusee,étudiant,vocabulaire
kaishain,employé,vocabulaire
kyooshi,enseignante,vocabulaire
takusan,beaucoup,vocabulaire
taberu,manger,verbe
kuru,venir,verbe
shashinka,photographe,vocabulaire
boku,je,base
shitte iru,savoir,verbe
kara kimashita,je viens de,expression
kara desu,je suis de,expression
tai,thailande,vocabulaire
burajiru,bresil,vocabulaire
soo desu ka,ah bon,expression
watakushi,je (poli),base
nan de mo,tout,base
